Landing Airport Code,Landing Airport FDW ID Number,Landing Airport Name,Landing Airport Type,Landing Airport City,Landing Airport State,Landing Airport Country,Landing Airport Latitude,Landing Airport Longitude,Landing Airport Elevation (ft)
CVS,9313,Cannon Afb,Military,CLOVIS,,United States,34.38236944,-103.3223667,4295
DEL,3158,Indira Gandhi Intl,Civil,DELHI,,India,28.56861111,77.11222222,778
DEN,8676,Denver Intl,Civil,DENVER,,United States,39.86166667,-104.6731667,5434
DFW,7983,Dallas-Ft Worth Intl,Civil,DALLAS-FT WORTH,,United States,32.89723056,-97.03769444,607
DNA,3527,Kadena Ab,Military,OKINAWA I,,Japan,26.35561111,127.7676389,143
DOV,6368,Dover Afb,Military,DOVER,,United States,39.12953889,-75.46596111,29
DTW,7738,Detroit Metro Wayne Co,Civil,DETROIT,,United States,42.21244444,-83.35338889,645
DWC,11129,Al Maktoum Intl,Civil,DUBAI,,United Arab Emirates,24.91833333,55.17555556,171
ELP,7042,El Paso Intl,Civil,EL PASO,,United States,31.80733333,-106.3763611,3962
EMA,5413,East Midlands,Civil,EAST MIDLANDS,,United Kingdom,52.83111111,-1.327777778,306
EWR,6402,Newark Liberty Intl,Civil,NEWARK,,United States,40.69248056,-74.16868611,17
EZE,232,Ezeiza Intl Ministro Pistarini,Civil,BUENOS AIRES,,Argentina,-34.82222222,-58.53583333,67
FFD,5331,Fairford Ab,Military,FAIRFORD,,United Kingdom,51.68351944,-1.789991667,285
FLL,6753,Ft Lauderdale-Hollywood Intl,Civil,FT LAUDERDALE,,United States,26.07166667,-80.14969444,65
GDL,3916,Miguel Hidalgo Y Costilla Intl,Civil,GUADALAJARA,,Mexico,20.52183611,-103.3111444,5016
GRK,8846,Gray Aaf,Civil,FT HOOD/KILLEEN,,United States,31.06725,-97.82891667,1015
GSB,7702,Seymour Johnson Afb,Military,GOLDSBORO,,United States,35.33938611,-77.96059444,109
HAN,9851,Noi Bai Intl,Civil,HANOI,,Vietnam,21.22166667,105.8055556,40
HGH,10636,Xiaoshan,Civil,HANGZHOU,,China,30.22833333,120.4333333,23
HHN,2704,Frankfurt-Hahn,Civil,FRANKFURT-HAHN,,Germany,49.94581944,7.261077778,1649
HHR,6541,Northrop/Hawthorne Mun,Civil,HAWTHORNE,,United States,33.92286111,-118.3350833,66
HKG,2837,Hong Kong Intl,Civil,HONG KONG,,Hong Kong,22.30888889,113.9147222,28
HNL,8473,Inouye Intl,Civil,HONOLULU,,United States,21.31782778,-157.9202639,13
HOP,6615,Campbell Aaf,Military,FT CAMPBELL/HOPKINSVILL,,United States,36.67295556,-87.49181944,571
HSV,9503,Huntsville Intl-Jones,Civil,HUNTSVILLE,,United States,34.63719444,-86.77505556,629
IAB,8814,Mcconnell Afb,Military,WICHITA,,United States,37.62311667,-97.26762778,1371
IAH,6960,George Bush Intercontinental/H,Civil,HOUSTON,,United States,29.98443611,-95.34144167,96
ICN,3600,Incheon Intl,Civil,SEOUL/INCHEON,,Republic of Korea,37.4625,126.4391667,23
IST,15994,Istanbul,Civil,ISTANBUL,,Turkey,41.27527778,28.75194444,325
IUD,4512,Al Udeid Ab,Military,AL-UDEID,,Qatar,25.11829722,51.31293056,132
JAX,8305,Jacksonville Intl,Civil,JACKSONVILLE,,United States,30.49405556,-81.68783333,29
JFK,9014,Kennedy Intl,Civil,NEW YORK,,United States,40.639925,-73.77869444,13
KBL,27,Hamid Karzai Intl,Civil,KABUL,,Afghanistan,34.56583333,69.2125,5877
KHRT,6539,Hurlburt,Military,MARY ESTHER,,United States,30.42891667,-86.6888,38
KWI,3677,Kuwait Intl,Civil,KUWAIT,,Kuwait,29.22676667,47.97995278,204
LAX,6362,Los Angeles Intl,Civil,LOS ANGELES,,United States,33.94249722,-118.40805,128
LCA,2074,Larnaca Intl,Civil,LARNACA,,Cyprus,34.87888889,33.63027778,11
LEJ,2632,Leipzig-Halle,Civil,LEIPZIG-HALLE,,Germany,51.42399167,12.23638333,470
LIM,4308,Jorge Chavez Intl,Civil,LIMA-CALLAO,,Peru,-12.02188611,-77.11431667,113
LUX,3732,Luxembourg,Civil,LUXEMBOURG,,Luxembourg,49.62333333,6.204444444,1234
MAO,964,Eduardo Gomes Intl,Civil,MANAUS,,Brazil,-3.041111111,-60.05055556,262
MCI,6042,Kansas City Intl,Civil,KANSAS CITY,,United States,39.29761111,-94.71388889,1027
MCO,9665,Orlando Intl,Civil,ORLANDO,,United States,28.42938889,-81.309,96
MDT,6845,Harrisburg Intl,Civil,HARRISBURG,,United States,40.19319167,-76.76261944,310
MEL,430,Melbourne Intl,Civil,MELBOURNE,,Australia,-37.67333333,144.8433333,434
MEX,3998,Benito Juarez Intl,Civil,MEXICO CITY,,Mexico,19.43639722,-99.07197222,7316
MHZ,5363,Mildenhall Ab,Military,MILDENHALL,,United Kingdom,52.36193333,0.486408333,32
MIA,7175,Miami Intl,Civil,MIAMI,,United States,25.79536111,-80.29011667,9
MKE,8360,Gen Mitchell Intl,Civil,MILWAUKEE,,United States,42.94694444,-87.89705556,729
MLB,7988,Melbourne Intl,Civil,MELBOURNE,,United States,28.10275,-80.64525,33
MSP,9526,Minneapolis-St Paul Intl/Wold-,Civil,MINNEAPOLIS,,United States,44.88197222,-93.22177778,842
MXP,3335,Malpensa,Civil,MILAN,,Italy,45.63,8.723055556,768
MZJ,7714,Pinal,Civil,MARANA,,United States,32.50983333,-111.3253333,1893
NAP,3361,Capodichino,Civil,NAPLES,,Italy,40.88444444,14.29083333,294
NGO,10672,Chubu Centrair Intl,Civil,NAGOYA,,Japan,34.85833333,136.8052778,12
NGU,9277,Norfolk Ns,Military,NORFOLK,,United States,36.93746667,-76.28927778,15
NRT,3463,Narita Intl,Civil,TOKYO,,Japan,35.76527778,140.3855556,135
NUE,2725,Nuernberg,Civil,NUERNBERG,,Germany,49.4987,11.07800833,1046
OAI,22,Bagram,Military,BAGRAM,,Afghanistan,34.94580278,69.26591944,4868
OFF,9337,Offutt Afb,Military,OMAHA,,United States,41.11932778,-95.90851944,1049
OJ40,3558,Shaheed Mwaffaq,Military,,,Jordan,31.825608,36.782028,1706
OKO,3532,Yokota Ab,Military,TOKYO,,Japan,35.74849167,139.3484833,462
OMA,6027,Eppley,Civil,OMAHA,,United States,41.30316667,-95.89405556,985
ONT,8512,Ontario Intl,Civil,ONTARIO,,United States,34.056,-117.6011944,944
ORD,9291,-O'hare Intl,Civil,CHICAGO,,United States,41.97452222,-87.90659722,680
OSN,3622,Osan Ab,Military,OSAN,,Republic of Korea,37.09156944,127.029475,41
PAE,9201,Snohomish Co,Civil,EVERETT,,United States,47.907,-122.2815833,608
PDX,8399,Portland Intl,Civil,PORTLAND,,United States,45.58870833,-122.5968694,31
PHX,6126,Phoenix Sky Harbor Intl,Civil,PHOENIX,,United States,33.43427778,-112.0115833,1135
PIK,5344,Prestwick,Civil,PRESTWICK,,United Kingdom,55.50944444,-4.594444444,65
POB,6347,Pope Aaf,Military,FAYETTEVILLE,,United States,35.17076111,-79.01441944,218
PSM,8695,Portsmouth Intl At Pease,Civil,PORTSMOUTH,,United States,43.07794444,-70.82327778,100
PVG,1811,Pudong,Civil,SHANGHAI,,China,31.145,121.7933333,13
QRO,10446,Queretaro Intl,Civil,QUERETARO,,Mexico,20.61737778,-100.1856944,6296
RFD,7851,Chicago/Rockford Intl,Civil,CHICAGO/ROCKFORD,,United States,42.19536111,-89.09722222,742
RIV,9145,March Arb,Civil,RIVERSIDE,,United States,33.88071111,-117.25945,1536
RIX,3711,Riga,Civil,RIGA,,Latvia,56.92361111,23.97111111,37
RMS,2650,Ramstein Ab,Military,RAMSTEIN,,Germany,49.43690833,7.600311111,781
RNT,8757,Renton Mun,Civil,RENTON,,United States,47.49313889,-122.21575,32
ROZ,4896,Rota,Military,CADIZ,,Spain,36.64527778,-6.349444444,87
RSW,8982,Southwest Florida Intl,Civil,FT MYERS,,United States,26.53616667,-81.75516667,30
SAN,8490,San Diego Intl,Civil,SAN DIEGO,,United States,32.73355556,-117.1896667,17
SCK,9070,Stockton Metro,Civil,STOCKTON,,United States,37.89441111,-121.2387389,33
SCL,1864,Arturo Merino Benitez Intl,Civil,SANTIAGO,,Chile,-33.39444167,-70.79380278,1555
SEA,7196,Seattle-Tacoma Intl,Civil,SEATTLE,,United States,47.44988889,-122.3117778,432
SFO,6259,San Francisco Intl,Civil,SAN FRANCISCO,,United States,37.61880556,-122.3754167,13
SHJ,7,Sharjah Intl,Civil,SHARJAH,,United Arab Emirates,25.32916667,55.51611111,118
SIN,4876,Changi,Civil,SINGAPORE,,Singapore,1.359211111,103.989325,22
SKF,8465,Kelly,Civil,SAN ANTONIO,,United States,29.38423333,-98.58111667,690
SLC,6786,Salt Lake City Intl,Civil,SALT LAKE CITY,,United States,40.78839444,-111.9777722,4231
SPM,2733,Spangdahlem Ab,Military,SPANGDAHLEM,,Germany,49.97654167,6.698508333,1197
STL,8059,St Louis Lambert Intl,Civil,ST LOUIS,,United States,38.74869722,-90.37002778,618
STN,5379,Stansted,Civil,LONDON,,United Kingdom,51.885,0.235,348
SUU,5914,Travis Afb,Military,FAIRFIELD,,United States,38.26453611,-121.9241306,63
SYD,361,Kingsford Smith Intl,Civil,SYDNEY,,Australia,-33.94611111,151.1772222,21
SZL,7255,Whiteman Afb,Military,KNOB NOSTER,,United States,38.73030556,-93.54786389,871
SZX,1839,Baoan,Civil,SHENZHEN,,China,22.63833333,113.8116667,13
TAR,3356,Grottaglie,Civil,TARANTO,,Italy,40.51722222,17.39972222,214
TLV,3300,Ben Gurion,Civil,TEL AVIV,,Israel,32.00944444,34.88555556,134
TPA,7745,Tampa Intl,Civil,TAMPA,,United States,27.97547222,-82.53325,26
TPE,5256,Taiwan Taoyuan Intl,Civil,TAIPEI,,Taiwan,25.08027778,121.2322222,108
TUS,7669,Tucson Intl,Civil,TUCSON,,United States,32.11606944,-110.9410139,2643
UAM,2759,Andersen Afb,Military,YIGO,,Guam,13.58388333,144.9300583,618
UIO,11121,Mariscal Sucre Intl,Civil,QUITO,,Ecuador,-0.124166667,-78.35444444,7910
VCP,1215,Viracopos Intl,Civil,CAMPINAS,,Brazil,-23.00694444,-47.13444444,2170
WRB,9705,Robins Afb,Military,WARNER ROBINS,,United States,32.64017222,-83.59191944,294
WRI,7834,Mcguire (Joint Base Mcguire Di,Military,WRIGHTSTOWN,,United States,40.01558333,-74.5917,141
WUX,12431,Shuofang,Civil,WUXI,,China,31.49333333,120.4283333,16
YWG,1612,Richardson Intl,Civil,WINNIPEG,,Canada,49.91001389,-97.24009444,783
ZAZ,4917,Zaragoza,Civil,ZARAGOZA,,Spain,41.66611111,-1.041666667,862
